name,HALLMARK_ADIPOGENESIS,HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ANGIOGENESIS,HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_SURFACE,HALLMARK_APOPTOSIS,HALLMARK_BILE_ACID_METABOLISM,HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_COAGULATION,HALLMARK_COMPLEMENT,HALLMARK_DNA_REPAIR,HALLMARK_E2F_TARGETS,HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_G2M_CHECKPOINT,HALLMARK_GLYCOLYSIS,HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_HEME_METABOLISM,HALLMARK_HYPOXIA,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_KRAS_SIGNALING_DN,HALLMARK_KRAS_SIGNALING_UP,HALLMARK_MITOTIC_SPINDLE,HALLMARK_MTORC1_SIGNALING,HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V2,HALLMARK_MYOGENESIS,HALLMARK_NOTCH_SIGNALING,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_P53_PATHWAY,HALLMARK_PANCREAS_BETA_CELLS,HALLMARK_PEROXISOME,HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_PROTEIN_SECRETION,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_SPERMATOGENESIS,HALLMARK_TGF_BETA_SIGNALING,HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_UP,HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_ESTROGEN_RESPONSE_EARLY.1,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
TCGA-55-8302,0.025823376,0.074683464,-0.238946869,-0.21902306,0.170734242,0.168917369,0.104211227,-0.367514652,-0.146141866,0.076445376,0.044420711,0.240264428,0.229796116,-0.041797989,0.049086817,-0.042829151,0.125527304,0.295748311,-0.084698142,-0.143905495,0.207354512,0.071960834,0.006771546,0.598782915,0.422162364,0.059896817,-0.165402963,0.186083967,0.035148474,0.110859291,0.259276819,0.020936222,-0.047328598,-0.107746703,0.065738089,-0.282765857,-0.133005586,0.038893499,-0.185138247,0.307031155,-0.129755806,-0.147377712,-0.072288792,-0.038411097,-0.192950876,0.036677075,-0.208238704,0.070912016,-0.041797989,-0.045640137,-0.222423185
TCGA-55-8505,0.29631038,-0.465509789,0.098134511,0.349590565,0.153140796,0.04432636,0.101234127,0.180643087,0.378554623,0.236411747,-0.06766384,-0.201638991,-0.155683129,0.267574979,0.232377172,0.150521358,-0.042006063,0.381301239,-0.013060024,0.020960062,0.307692156,-0.162658962,-0.16742966,-0.481396279,-0.444738338,0.043467046,-0.093592797,0.238425321,0.356288722,-0.199698968,0.02246558,0.129798947,0.21397098,0.314842761,0.145210369,0.268140826,0.113611781,0.159292106,0.034803752,0.348500789,-0.041538394,0.195960509,0.047031335,0.19632866,0.07100653,0.076687707,0.293546773,0.27842136,0.267574979,-0.20509883,0.503196486
TCGA-55-8507,-0.061277328,-0.414149593,-0.259950808,-0.132359155,-0.174778478,-0.057173526,-0.204185097,-0.04013206,0.092671311,-0.076892633,-0.18790638,-0.002032402,0.202759367,-0.037650762,0.024246764,-0.074438839,0.298447697,-0.193937197,0.026425586,-0.127543545,-0.135101052,-0.181268519,-0.124668403,-0.220674233,-0.363621351,0.079792374,-0.157542719,0.161745831,-0.195805377,-0.063289238,0.254114866,0.1031159,-0.082553329,-0.115049171,-0.202754881,0.006447723,-0.048773414,-0.160760921,-0.410167267,-0.297139908,0.039029338,0.167692908,-0.045952709,0.020334773,-0.183441366,0.056682873,0.151670015,-0.136001173,-0.037650762,-0.127857601,-0.177207815
TCGA-55-8508,-0.247846344,-0.227998518,-0.063550427,-0.036409207,-0.046174597,-0.000760426,-0.122951435,-0.097542866,-0.134669805,-0.125794046,-0.17480231,-0.148290594,-0.227181347,0.165269464,0.010767817,-0.137463783,-0.09176828,0.157173044,0.18068638,-0.069507433,0.109154168,-0.154510036,-0.096789039,-0.406388331,-0.311672878,-0.03188429,-0.05252965,-0.163267394,-0.056558747,-0.15695461,0.047995473,-0.041742719,-0.063697473,-0.131462011,-0.103354207,0.328394645,-0.18936675,-0.056750157,-0.315670699,-0.208837413,-0.020154916,0.093674176,-0.042286556,0.216284714,-0.23452305,-0.03860562,0.243943828,-0.093734397,0.165269464,-0.219047781,0.256811447
TCGA-55-8510,-0.223600663,0.407088459,-0.422581585,0.230776782,0.280621458,0.176599451,0.084913576,0.112798207,-0.051124827,0.267225419,0.277665597,-0.250902652,-0.291392528,-0.083843039,-0.031919232,-0.058566727,-0.311720883,-0.131999901,-0.057957395,-0.0634912,-0.102432034,0.118849386,0.397415739,0.245298214,0.252820313,0.163586636,0.237006884,0.024995407,-0.376572961,-0.539455517,-0.394890377,0.273249467,0.139670711,-0.456719762,0.049136961,-0.159648444,-0.179314735,-0.214734728,-0.407320909,0.253185357,-0.118042508,-0.160320258,-0.057310174,-0.406565597,-0.062793242,-0.083226964,0.017427118,0.184377293,-0.083843039,0.282740672,0.286107139
TCGA-55-8513,-0.20954666,0.038905568,-0.119048245,-0.309212206,0.036834269,0.212756132,-0.045433922,0.254402561,-0.001962344,0.270755879,0.28499411,-0.485622043,-0.704814711,0.133137443,0.094127226,-0.175090151,-0.606351645,-0.416033823,0.239214099,0.122876279,-0.197936505,0.081400437,0.365265215,0.503418108,0.349718245,0.324230769,0.093947022,-0.270203736,-0.493172043,-0.701110329,-0.676317077,0.294769479,0.090810821,-0.538302043,0.102357938,0.019740219,-0.023907029,-0.30249437,-0.348110333,-0.15348097,-0.115278171,-0.056175838,0.181933074,-0.462772459,0.183199653,-0.160905702,0.219602726,0.055806206,0.133137443,0.237972501,-0.231498569
TCGA-55-8514,0.10308181,-0.257330451,-0.116686127,-0.352300838,0.000597721,-0.165142628,-0.052537772,0.048773441,0.349086481,-0.111345411,-0.250614109,0.164711697,-0.49717213,-0.055111475,-0.161879619,-0.124597648,-0.487338187,0.028364778,-0.078037045,-0.097506961,-0.13245188,-0.116645133,0.02947917,0.365586594,0.145223298,0.125828603,-0.131231802,-0.341630129,-0.211618797,-0.397756559,0.139458997,-0.04638819,0.093283329,-0.107968066,-0.032947486,-0.177696683,-0.033059055,-0.210323615,-0.226306527,-0.033349924,-0.164544992,-0.297543308,0.167502439,-0.093438779,-0.269915347,-0.003700603,-0.134632451,-0.029647649,-0.055111475,-0.043814658,-0.42990891
TCGA-55-8614,-0.299137621,-0.183465125,-0.007443554,0.385498712,0.309886989,0.224390922,0.015511105,-0.202753966,-0.206042923,0.178677822,-0.166728381,-0.004650153,0.193906102,0.063516188,0.003935923,-0.250778914,0.246046136,-0.117150105,0.245293992,-0.212169114,0.241940087,-0.040515026,-0.048553796,-0.471140572,-0.36934435,0.305019704,-0.072461746,0.086428846,-0.258895477,-0.086480596,0.109578366,0.246038343,0.089021057,-0.455861341,0.126003594,-0.093191372,-0.073171549,-0.227853646,-0.340885345,-0.25545053,0.005318937,0.38371635,0.365146052,-0.095055594,0.171131111,-0.04248772,0.328489377,-0.171280282,0.063516188,-0.046154923,0.491370628
TCGA-55-8615,-0.060349829,-0.474694956,-0.185406328,0.0113005,-0.155845186,-0.091986874,-0.328051607,-0.101381456,-0.258203797,0.082419306,-0.3423077,-0.051491387,-0.207250535,0.037755856,0.055532925,-0.018726154,-0.157798177,-0.030668463,-0.027749547,-0.167016958,-0.109974443,-0.242837861,-0.367387319,-0.502484477,-0.514445259,0.066614361,-0.272994577,-0.103018836,-0.297701507,-0.120585417,0.149036978,-0.016051984,-0.353295984,0.092591292,-0.133166927,0.359879718,-0.00819668,-0.08866864,-0.289422,-0.187199601,0.13596736,-0.11902184,-0.372973565,0.163421094,-0.251738202,-0.129634114,-0.004738824,-0.002107073,0.037755856,-0.349241285,-0.17860791
TCGA-55-8619,-0.095609771,0.361417578,-0.081124774,0.149685686,0.283139817,0.334128791,0.083430746,0.258303828,-0.088186743,0.39074204,0.36786881,-0.47518924,-0.672526574,0.138351341,0.117737167,-0.115681075,-0.583892771,-0.297891011,0.370193304,0.109048447,0.101858732,0.343371276,0.387556946,0.179961685,0.255346621,0.237379096,0.324864612,-0.095469673,-0.485094436,-0.724189771,-0.559405066,0.366977632,0.055293492,-0.472664504,0.101795481,0.224327731,-0.174792625,-0.203174225,-0.281921459,0.036718015,-0.261080372,0.066129815,0.230427521,-0.480717772,0.171356076,-0.123371805,0.286458851,0.089294539,0.138351341,0.34483862,0.109706494
