"","logFC","logCPM","PValue","FDR","group","genesymbol","adj.P.Val"
"KRTCAP2",0.0337695209791825,5.12020951012589,0.730511343691584,0.901252591245742,"High vs Low","KRTCAP2",0.901252591245742
"CELF5",0.0891030186550597,0.899728199563326,0.730515586651204,0.901252591245742,"High vs Low","CELF5",0.901252591245742
"SLC22A23",0.0471229928280175,5.90341201232384,0.730669797200713,0.901373858673945,"High vs Low","SLC22A23",0.901373858673945
"ZNF22",0.0263455593887499,4.74067398674395,0.730763435925945,0.901373858673945,"High vs Low","ZNF22",0.901373858673945
"PBK",0.0664285794031456,3.44394190564617,0.730803768030613,0.901373858673945,"High vs Low","PBK",0.901373858673945
"RUFY1",0.0229854483063833,5.95127847677996,0.730804940793353,0.901373858673945,"High vs Low","RUFY1",0.901373858673945
"PCDHGB5",0.0712876141753274,2.47558817496619,0.73123820481891,0.901849301557914,"High vs Low","PCDHGB5",0.901849301557914
"ZBTB9",0.0565405523727306,-3.47796063600956,0.731340981176725,0.901869722351816,"High vs Low","ZBTB9",0.901869722351816
"CFC1",-0.196719119285972,-4.27647053347668,0.731350345034701,0.901869722351816,"High vs Low","CFC1",0.901869722351816
"HNRNPUL2.BSCL2",0.0389949434868487,-0.340516545630079,0.731472199890955,0.901961048362664,"High vs Low","HNRNPUL2.BSCL2",0.901961048362664
"RNF115",-0.0200956612399852,6.01203903076242,0.731557820694263,0.902007686005974,"High vs Low","RNF115",0.902007686005974
"REG1B",-0.213413601934089,-3.52866861251207,0.731619956376733,0.902025362392874,"High vs Low","REG1B",0.902025362392874
"TTC37",0.0231945523746645,6.21653630578949,0.732022535969092,0.902408070625813,"High vs Low","TTC37",0.902408070625813
"PLXNA2",0.0487682125640037,6.35059967182063,0.732026005253561,0.902408070625813,"High vs Low","PLXNA2",0.902408070625813
"TYROBP",-0.049366576203705,6.54442744251693,0.732114489701852,0.902458196823022,"High vs Low","TYROBP",0.902458196823022
