"","logFC","logCPM","PValue","FDR","group","genesymbol","adj.P.Val"
"SYT11",0.0514710780798641,4.39952731948935,0.678595578609023,0.87739275579131,"High vs Low","SYT11",0.87739275579131
"FABP1",0.201172602429036,-2.96001587529028,0.6786022966049,0.87739275579131,"High vs Low","FABP1",0.87739275579131
"TOMM40L",-0.0328248663713769,4.45555888410489,0.678629890494938,0.87739275579131,"High vs Low","TOMM40L",0.87739275579131
"PABPC4L",0.0640081874147057,1.08120428958011,0.678826371236872,0.877586658327807,"High vs Low","PABPC4L",0.877586658327807
"NIPA1",-0.0345736529594618,5.07658280823745,0.678918598702091,0.877602966534706,"High vs Low","NIPA1",0.877602966534706
"KRTAP5.9",0.0834999737186713,-1.91487165149684,0.678989412104059,0.877602966534706,"High vs Low","KRTAP5.9",0.877602966534706
"LRRC10",0.137929409772107,-4.51578133637235,0.679071177364198,0.877602966534706,"High vs Low","LRRC10",0.877602966534706
"ABCD4",0.0289335367768187,5.31708495826003,0.679112965181902,0.877602966534706,"High vs Low","ABCD4",0.877602966534706
"ANAPC5",-0.0265666453140892,6.99650159667642,0.679231593134374,0.877602966534706,"High vs Low","ANAPC5",0.877602966534706
"NUPL2",0.0307935954630177,4.93464731895405,0.67930852051,0.877602966534706,"High vs Low","NUPL2",0.877602966534706
"GALNS",0.0341360094138229,5.07052932666229,0.679327222211984,0.877602966534706,"High vs Low","GALNS",0.877602966534706
"CCDC168",0.0796155924627689,-2.95771424807269,0.679338079291108,0.877602966534706,"High vs Low","CCDC168",0.877602966534706
"GRIN2A",-0.142001196181026,1.42132289927304,0.679397942357824,0.877602966534706,"High vs Low","GRIN2A",0.877602966534706
"CLRN3",-0.117142556772915,-0.935476818761617,0.679456832598804,0.877602966534706,"High vs Low","CLRN3",0.877602966534706
"FZD5",-0.040263901656992,5.57023628127711,0.679461231640131,0.877602966534706,"High vs Low","FZD5",0.877602966534706
"SIDT2",0.0338550912200558,6.08179332986448,0.679571694421874,0.877602966534706,"High vs Low","SIDT2",0.877602966534706
"UVRAG",-0.0261950242460363,4.79875442252269,0.679579081780957,0.877602966534706,"High vs Low","UVRAG",0.877602966534706
"RTN4R",-0.0560569170257197,3.09162582910732,0.679623330592806,0.877602966534706,"High vs Low","RTN4R",0.877602966534706
"GTF3C5",0.0310857157072347,5.82625742330145,0.679726996064675,0.877602966534706,"High vs Low","GTF3C5",0.877602966534706
"TMEM150C",-0.0747245483631992,4.81667664407092,0.67982532995321,0.877602966534706,"High vs Low","TMEM150C",0.877602966534706
"AFF3",0.0913870955170256,3.20813635504335,0.679844353670312,0.877602966534706,"High vs Low","AFF3",0.877602966534706
