"","logFC","logCPM","PValue","FDR","group","genesymbol","adj.P.Val"
"NNAT",4.12366723616928,3.42334651082141,3.15264687006308e-29,5.94935990849605e-25,"High vs Low","NNAT",5.94935990849605e-25
"CYP17A1",3.84479168297589,1.96039380866244,9.64192532166169e-26,9.09763863725389e-22,"High vs Low","CYP17A1",9.09763863725389e-22
"ELAVL3",4.69859941415824,-0.281266401415691,2.28978045173497e-25,1.44034823015635e-21,"High vs Low","ELAVL3",1.44034823015635e-21
"SPINK4",-6.15051075989065,4.34141011233767,6.11378643925862e-25,2.88433159738123e-21,"High vs Low","SPINK4",2.88433159738123e-21
"A4GNT",-4.05495152988368,0.0729504953123813,2.42517406752918e-23,9.15309196566862e-20,"High vs Low","A4GNT",9.15309196566862e-20
"CYP2B6",-4.84480402611009,1.57743300873872,9.07093092783115e-23,2.85295895898503e-19,"High vs Low","CYP2B6",2.85295895898503e-19
"HMP19",4.78959605234794,1.93881074950223,4.41007618613068e-22,1.18889353869246e-18,"High vs Low","HMP19",1.18889353869246e-18
"HIST1H2BB",-5.64938840781343,-0.426962354130375,6.54825762000578e-22,1.54465211933911e-18,"High vs Low","HIST1H2BB",1.54465211933911e-18
"SEZ6",3.53326777309552,0.583398272667965,1.38926580263538e-21,2.91298166239248e-18,"High vs Low","SEZ6",2.91298166239248e-18
"HIST1H1B",-4.87047476952989,1.72483444681227,2.18175597671154e-21,4.11719170365234e-18,"High vs Low","HIST1H1B",4.11719170365234e-18
"CYP11B1",8.72436236165157,0.724629607592285,5.25456508842059e-21,9.01444525305318e-18,"High vs Low","CYP11B1",9.01444525305318e-18
"SCG2",3.60952981134863,5.34723839751894,9.18223367867012e-21,1.44398276458486e-17,"High vs Low","SCG2",1.44398276458486e-17
"SLC7A14",4.72257245718235,-0.581142751013882,1.0740795861445e-20,1.55915045154868e-17,"High vs Low","SLC7A14",1.55915045154868e-17
"HSD3B2",5.42816702945808,0.00266593289755452,1.74716786931537e-20,2.35505749013216e-17,"High vs Low","HSD3B2",2.35505749013216e-17
"HIST1H4C",-3.86454786942623,0.358184540825294,9.03867627821958e-20,1.13712573364188e-16,"High vs Low","HIST1H4C",1.13712573364188e-16
"DHRS2",3.46506986044221,3.75564345209647,1.23649383556371e-19,1.42775820065476e-16,"High vs Low","DHRS2",1.42775820065476e-16
"WNT16",-3.71329260631785,2.6804049165191,1.28620048811037e-19,1.42775820065476e-16,"High vs Low","WNT16",1.42775820065476e-16
"NPY",7.48405420041976,4.08623224027993,1.46880032226239e-19,1.53987393785631e-16,"High vs Low","NPY",1.53987393785631e-16
"STAR",3.34334785744085,1.27153642551849,2.17362031886439e-19,2.15886258090999e-16,"High vs Low","STAR",2.15886258090999e-16
"FABP7",4.86429194230591,3.28134690400434,4.33575708826214e-19,4.09100360062974e-16,"High vs Low","FABP7",4.09100360062974e-16
"PSG1",7.32188682880998,0.691422507896638,6.13813203273617e-19,5.37241345094442e-16,"High vs Low","PSG1",5.37241345094442e-16
"PSG5",7.59008617580815,2.06913512578624,6.26321318005284e-19,5.37241345094442e-16,"High vs Low","PSG5",5.37241345094442e-16
"GLRA4",-4.58148951348359,-1.57794555821847,2.01570682304236e-18,1.65384362859272e-15,"High vs Low","GLRA4",1.65384362859272e-15
"CYP11A1",2.5783544707571,1.82201444487371,2.596771496066e-18,2.04181978759423e-15,"High vs Low","CYP11A1",2.04181978759423e-15
"NTSR1",3.49648497244495,0.915521611743583,3.29355320154794e-18,2.48610569865645e-15,"High vs Low","NTSR1",2.48610569865645e-15
"FGF3",-5.79355107055648,-1.33567252817669,3.68998947914621e-18,2.67822274849877e-15,"High vs Low","FGF3",2.67822274849877e-15
"CDH22",3.78578445648603,0.450407493508478,7.64839207314316e-18,5.3456595115661e-15,"High vs Low","CDH22",5.3456595115661e-15
"NEUROD4",7.78073029964605,-0.630764450597353,8.31242503055254e-18,5.60227759826989e-15,"High vs Low","NEUROD4",5.60227759826989e-15
"HIST1H4D",-3.97488905840627,0.549538006385717,1.39860535125311e-17,9.10106261499911e-15,"High vs Low","HIST1H4D",9.10106261499911e-15
"CERS3",-4.11022670188922,0.130147829866508,1.85275422946479e-17,1.16544416880767e-14,"High vs Low","CERS3",1.16544416880767e-14
"HIST1H4F",-6.86147329413549,-0.515098250780196,2.05833355523815e-17,1.25299395228707e-14,"High vs Low","HIST1H4F",1.25299395228707e-14
"MSTN",-2.76942439228748,-0.0767524466429164,2.27930062304015e-17,1.34414631429346e-14,"High vs Low","MSTN",1.34414631429346e-14
"HIST1H2BI",-4.9626316073907,-0.412028525108944,2.65790357619976e-17,1.5199181329232e-14,"High vs Low","HIST1H2BI",1.5199181329232e-14
"LIPF",-5.91258509268146,-0.0570863302245831,5.14104994451896e-17,2.85343392655933e-14,"High vs Low","LIPF",2.85343392655933e-14
"ACTL6B",3.85499445320276,-1.23132854964518,6.38137304469885e-17,3.44065402075749e-14,"High vs Low","ACTL6B",3.44065402075749e-14
"KRT13",-3.71330122314082,4.28888333007497,1.17324442303052e-16,6.15008208528028e-14,"High vs Low","KRT13",6.15008208528028e-14
"ADAD2",2.70232462531413,-0.947748475780298,1.25232279510533e-16,6.38718472065749e-14,"High vs Low","ADAD2",6.38718472065749e-14
"HIST1H2AJ",-3.91777920301937,-0.792652891624481,2.32664888908017e-16,1.15542608383768e-13,"High vs Low","HIST1H2AJ",1.15542608383768e-13
"PSG11",7.89878284749542,-0.339119805095208,3.0308073607754e-16,1.46652219756904e-13,"High vs Low","PSG11",1.46652219756904e-13
"DKK4",-5.44640039074197,2.26602495394398,3.99487702046993e-16,1.8846831063322e-13,"High vs Low","DKK4",1.8846831063322e-13
"HDGFL1",5.28306320848888,-2.47977181901882,4.09718486109186e-16,1.88580428082108e-13,"High vs Low","HDGFL1",1.88580428082108e-13
"APOA1",-2.77219947355844,0.337568499275979,4.73672629167954e-16,2.12713414571776e-13,"High vs Low","APOA1",2.12713414571776e-13
"PSG2",6.18205138744005,-1.92623286426648,4.8469486654583e-16,2.12713414571776e-13,"High vs Low","PSG2",2.12713414571776e-13
"SLC7A3",3.70448296159454,-0.244797289495501,6.12348730132702e-16,2.62628020143959e-13,"High vs Low","SLC7A3",2.62628020143959e-13
"XKR7",3.76400160759782,0.258841413364049,6.78402143730753e-16,2.8449170787429e-13,"High vs Low","XKR7",2.8449170787429e-13
"HIST1H3C",-3.6729672882351,-0.131640298355988,8.5676861857976e-16,3.51480013069971e-13,"High vs Low","HIST1H3C",3.51480013069971e-13
"CPA1",3.47129548792251,-1.39201986777414,8.79997035132798e-16,3.53328171276405e-13,"High vs Low","CPA1",3.53328171276405e-13
"COLEC10",2.51292905126217,-0.049112992294602,1.11240462375771e-15,4.3733724281108e-13,"High vs Low","COLEC10",4.3733724281108e-13
"TMPRSS11A",-3.3986636780076,-1.26106125506239,1.45532579965834e-15,5.60478636027601e-13,"High vs Low","TMPRSS11A",5.60478636027601e-13
"TUBA3E",3.31787305731751,-1.77409301817505,1.51835916755993e-15,5.73059117020468e-13,"High vs Low","TUBA3E",5.73059117020468e-13
"CHRNB2",2.65595767126752,0.996412127840833,1.56378742638633e-15,5.78632010261498e-13,"High vs Low","CHRNB2",5.78632010261498e-13
"KPRP",-5.7086312713588,-2.40943789624526,2.05562042562513e-15,7.45992558691765e-13,"High vs Low","KPRP",7.45992558691765e-13
"HIST1H4B",-3.64537973844652,-0.606827668424887,2.94404962881791e-15,1.04824831217779e-12,"High vs Low","HIST1H4B",1.04824831217779e-12
"SYT4",4.49519770018093,2.03294350281141,3.44617353886712e-15,1.20431001577706e-12,"High vs Low","SYT4",1.20431001577706e-12
"MAEL",3.38531146424264,2.31124225082376,7.93708278587764e-15,2.72328525913267e-12,"High vs Low","MAEL",2.72328525913267e-12
"HIST1H4A",-3.85340063860026,-1.41894853926607,9.05143397242497e-15,3.05017161595771e-12,"High vs Low","HIST1H4A",3.05017161595771e-12
"SLC12A3",2.21050735056609,0.497943274210453,1.0148726039867e-14,3.35994051049703e-12,"High vs Low","SLC12A3",3.35994051049703e-12
"CRP",-3.45554799312923,-1.35647726009206,1.13811323778308e-14,3.69396089858919e-12,"High vs Low","CRP",3.69396089858919e-12
"HIST1H1D",-3.25800869424926,1.16790618573102,1.15491332211734e-14,3.69396089858919e-12,"High vs Low","HIST1H1D",3.69396089858919e-12
"TEX13B",-4.34397689196885,-2.63810159052868,1.40019099399965e-14,4.40383404129457e-12,"High vs Low","TEX13B",4.40383404129457e-12
"KRT77",-4.59068751797464,-2.84808292291525,1.55396485624311e-14,4.80735586920718e-12,"High vs Low","KRT77",4.80735586920718e-12
"EPGN",2.94900259440721,-0.292788929016343,1.58677982432737e-14,4.82969710723899e-12,"High vs Low","EPGN",4.82969710723899e-12
"LGALS13",6.19255420693045,-2.67798986900065,1.62871340127381e-14,4.87864295165684e-12,"High vs Low","LGALS13",4.87864295165684e-12
"RTP1",-4.32948296408149,-1.12681349538395,1.66982542526611e-14,4.92363681253073e-12,"High vs Low","RTP1",4.92363681253073e-12
"KCNC1",2.41831483547088,-1.83790321843217,1.70984302964294e-14,4.96406889421415e-12,"High vs Low","KCNC1",4.96406889421415e-12
"GRIA2",3.14783709945815,-0.261920724077443,1.75068907690915e-14,5.00564448035644e-12,"High vs Low","GRIA2",5.00564448035644e-12
"INSRR",2.29260361948296,-1.06353702104897,2.6322888522001e-14,7.41401834774151e-12,"High vs Low","INSRR",7.41401834774151e-12
"HIST1H1E",-2.64091693686767,1.28008417511513,3.14278513148189e-14,8.72169091414628e-12,"High vs Low","HIST1H1E",8.72169091414628e-12
"HIST1H3B",-3.39935915646145,0.305868102812292,3.80780759509473e-14,1.04140778444975e-11,"High vs Low","HIST1H3B",1.04140778444975e-11
"TAC3",3.50417691627941,0.210744822391117,4.6541609109536e-14,1.25469529358008e-11,"High vs Low","TAC3",1.25469529358008e-11
"CYP4F8",4.10929442048854,-1.76471715735568,5.8357667118125e-14,1.55108103688188e-11,"High vs Low","CYP4F8",1.55108103688188e-11
"RELN",-2.14157503882265,3.16130495879812,6.79998514133382e-14,1.78225721669598e-11,"High vs Low","RELN",1.78225721669598e-11
"KRT76",-4.82805745132832,-2.54590195613218,7.52667030187461e-14,1.9456958255709e-11,"High vs Low","KRT76",1.9456958255709e-11
"HIST2H2AB",-3.41214461720935,-0.600936568810775,8.29245106812146e-14,2.11468708252054e-11,"High vs Low","HIST2H2AB",2.11468708252054e-11
"UNC79",1.75647139016135,0.39513578799674,1.01218810368405e-13,2.5468002272829e-11,"High vs Low","UNC79",2.5468002272829e-11
"SCN2A",2.57048835212082,1.56705885298915,1.09490761687548e-13,2.71868442606015e-11,"High vs Low","SCN2A",2.71868442606015e-11
"SPRR2E",-5.15670442004766,0.462760464875497,1.19320610884418e-13,2.92428473766215e-11,"High vs Low","SPRR2E",2.92428473766215e-11
"PSG7",5.53699200883829,-2.76156361539692,1.3115453459615e-13,3.17309900303069e-11,"High vs Low","PSG7",3.17309900303069e-11
"RHAG",-4.44848721792715,-2.70167586292037,1.79679531280793e-13,4.24766862668941e-11,"High vs Low","RHAG",4.24766862668941e-11
"CGA",4.92470006468295,4.36836374987972,1.80071798068546e-13,4.24766862668941e-11,"High vs Low","CGA",4.24766862668941e-11
"FETUB",-3.74722718711051,-0.765153741552768,2.20193583383948e-13,5.1068109462616e-11,"High vs Low","FETUB",5.1068109462616e-11
"HIST1H2AB",-3.45417269405715,-1.14642780930511,2.21905833073738e-13,5.1068109462616e-11,"High vs Low","HIST1H2AB",5.1068109462616e-11
"NLRP7",2.14341682170402,0.394885607574894,2.33199429942222e-13,5.30205595474659e-11,"High vs Low","NLRP7",5.30205595474659e-11
"CELA3A",4.42414225740044,-2.27283021706133,2.38443942341974e-13,5.3567567094469e-11,"High vs Low","CELA3A",5.3567567094469e-11
"CLEC2A",4.8585140528516,-1.18682461961056,5.92068903562429e-13,1.31446262107372e-10,"High vs Low","CLEC2A",1.31446262107372e-10
"FGF4",-4.84455822095737,-2.3194476680437,6.39792339054972e-13,1.40389781747748e-10,"High vs Low","FGF4",1.40389781747748e-10
"DUSP27",-2.63042034137122,-0.460729992648821,6.94041182037617e-13,1.50543116623355e-10,"High vs Low","DUSP27",1.50543116623355e-10
"CGB5",-4.84040621406323,2.15495206731655,7.34063317170243e-13,1.57414873389996e-10,"High vs Low","CGB5",1.57414873389996e-10
"HIST1H1A",-5.47483800555012,-0.904717379856722,8.12854235319723e-13,1.72352497468747e-10,"High vs Low","HIST1H1A",1.72352497468747e-10
"TMC2",2.17660601508042,-0.101166338801231,8.44211171976898e-13,1.77012322515289e-10,"High vs Low","TMC2",1.77012322515289e-10
"TAC1",5.44662396571623,3.18142052477423,8.93769845920747e-13,1.85344294091983e-10,"High vs Low","TAC1",1.85344294091983e-10
"C6orf58",-2.30551950104676,-0.485508296845259,1.07605285933284e-12,2.20719494657284e-10,"High vs Low","C6orf58",2.20719494657284e-10
"MYPN",3.09711434879886,0.00501057146436469,1.12733057032467e-12,2.28751131103191e-10,"High vs Low","MYPN",2.28751131103191e-10
"VGLL2",4.46553091507657,-1.60026492994187,1.23597597483726e-12,2.48128751288872e-10,"High vs Low","VGLL2",2.48128751288872e-10
"C18orf42",3.89966606709427,-3.03165628730532,1.33994162675237e-12,2.66168825667831e-10,"High vs Low","C18orf42",2.66168825667831e-10
"HIST1H4L",-5.42647462541068,-1.0467658031973,1.86577518268589e-12,3.66760869504849e-10,"High vs Low","HIST1H4L",3.66760869504849e-10
"PSG8",5.51798838449045,-0.981140178460215,1.94953219875391e-12,3.79274454873042e-10,"High vs Low","PSG8",3.79274454873042e-10
"NOL4",2.6122092731526,0.758467860076622,2.24070897612237e-12,4.31473664167399e-10,"High vs Low","NOL4",4.31473664167399e-10
"DSG3",-3.49414825514527,2.40764724383653,2.49657300018385e-12,4.75887162489591e-10,"High vs Low","DSG3",4.75887162489591e-10
"PPP1R3A",5.47665584836831,-1.95364322362842,2.64034220588668e-12,4.98258977672875e-10,"High vs Low","PPP1R3A",4.98258977672875e-10
"FAM9C",3.53311335881394,-0.281098034435061,2.88657170280084e-12,5.39331629738164e-10,"High vs Low","FAM9C",5.39331629738164e-10
"ACTL8",4.15844385945682,1.28791300719723,3.11467079981128e-12,5.70658701250377e-10,"High vs Low","ACTL8",5.70658701250377e-10
"SPRR2G",-3.73273356669372,-2.75573190732166,3.11471815106718e-12,5.70658701250377e-10,"High vs Low","SPRR2G",5.70658701250377e-10
"UBE2QL1",1.73672785992722,1.4169278328627,3.37271186118664e-12,6.11985053196664e-10,"High vs Low","UBE2QL1",6.11985053196664e-10
"CHGA",3.51574529533727,3.75787129476263,3.82269151743097e-12,6.87028682147045e-10,"High vs Low","CHGA",6.87028682147045e-10
"C5AR2",1.38837662797298,3.69015582705429,4.13900261347051e-12,7.3685960678115e-10,"High vs Low","C5AR2",7.3685960678115e-10
"GPR26",-4.14825466044499,0.246188126701594,4.20526006266339e-12,7.41658529369353e-10,"High vs Low","GPR26",7.41658529369353e-10
"ADRA2B",-1.6949550490298,0.491767465708078,4.49421651890345e-12,7.80249217160357e-10,"High vs Low","ADRA2B",7.80249217160357e-10
"MYF5",4.56663582373607,-3.79712124718818,4.50676512482004e-12,7.80249217160357e-10,"High vs Low","MYF5",7.80249217160357e-10
"CTRB2",2.29027678593403,-2.82000058648094,4.54976703683119e-12,7.80533215927649e-10,"High vs Low","CTRB2",7.80533215927649e-10
"KCNE2",-1.75834529063413,-0.572984309188461,5.59272762377589e-12,9.5081408097545e-10,"High vs Low","KCNE2",9.5081408097545e-10
"GIF",-3.90643371750246,-2.06326944078407,6.08481719671213e-12,1.02523736892102e-09,"High vs Low","GIF",1.02523736892102e-09
"CTRB1",2.59418944138156,-3.07593117171944,6.84392084239075e-12,1.14293478067926e-09,"High vs Low","CTRB1",1.14293478067926e-09
"PSG4",5.55969376255305,2.7705194860645,8.1149330072099e-12,1.34330614718472e-09,"High vs Low","PSG4",1.34330614718472e-09
"FEV",3.27374066931668,-1.76012645580312,1.0383959233216e-11,1.7039625625219e-09,"High vs Low","FEV",1.7039625625219e-09
"FAM83C",-3.64328031971276,-1.28699620669051,1.16542749901657e-11,1.8959295115467e-09,"High vs Low","FAM83C",1.8959295115467e-09
"TRIM58",2.01099233978694,-0.420296143069339,1.18285659546995e-11,1.90783647975328e-09,"High vs Low","TRIM58",1.90783647975328e-09
"HRH3",4.21149470469087,-0.814921020671888,1.45895560696229e-11,2.33190032520686e-09,"High vs Low","HRH3",2.33190032520686e-09
"RASGEF1C",2.5301250701877,0.137751768594644,1.47048984526319e-11,2.33190032520686e-09,"High vs Low","RASGEF1C",2.33190032520686e-09
"HIST1H4E",-2.60829869610329,0.767251338413709,1.54383399623198e-11,2.42780761190781e-09,"High vs Low","HIST1H4E",2.42780761190781e-09
"ACTA1",1.29052105876631,-0.532499678086071,1.58878928935031e-11,2.47785476688675e-09,"High vs Low","ACTA1",2.47785476688675e-09
"STMN4",2.8271359325547,-2.79494372493261,1.64224998332233e-11,2.54023765862915e-09,"High vs Low","STMN4",2.54023765862915e-09
"PROKR1",-1.95914845129917,-1.77500855800546,1.84008557873665e-11,2.82311015905198e-09,"High vs Low","PROKR1",2.82311015905198e-09
"SPRR2B",-4.88244384674404,-2.49368599001334,1.99984789785281e-11,3.04347820003068e-09,"High vs Low","SPRR2B",3.04347820003068e-09
"HAND2",2.86518476052929,-1.56156353198445,2.11892735972294e-11,3.19890225642652e-09,"High vs Low","HAND2",3.19890225642652e-09
"LGALS16",4.01080003529482,-4.05982371451064,2.79537812296226e-11,4.18663337765245e-09,"High vs Low","LGALS16",4.18663337765245e-09
"LAMA1",-1.83511654831273,3.1997785480972,2.91996643088655e-11,4.33879421395749e-09,"High vs Low","LAMA1",4.33879421395749e-09
"PTPRN",2.31744098250735,2.89502099585717,3.1547123125064e-11,4.6509825038522e-09,"High vs Low","PTPRN",4.6509825038522e-09
"HIST1H2AH",-3.26971154260715,-1.02319420565391,3.27022931406603e-11,4.78391452602636e-09,"High vs Low","HIST1H2AH",4.78391452602636e-09
"HIST1H3F",-3.70240984485449,-0.0464961599232351,3.4333082403213e-11,4.98384306177718e-09,"High vs Low","HIST1H3F",4.98384306177718e-09
"KRTDAP",-2.2073235231516,-1.38229158681192,3.53995072063856e-11,5.09942061444048e-09,"High vs Low","KRTDAP",5.09942061444048e-09
"ARHGAP36",3.93750135163966,-1.24580524532043,3.61477610359095e-11,5.16776059476248e-09,"High vs Low","ARHGAP36",5.16776059476248e-09
"SNAP25",1.56352163714221,1.93105204557311,4.30939848518627e-11,6.11448562510904e-09,"High vs Low","SNAP25",6.11448562510904e-09
"HSD3B1",4.01724323493049,-2.10353012523565,4.79071929125148e-11,6.74430823459038e-09,"High vs Low","HSD3B1",6.74430823459038e-09
"CHGB",3.06931270286433,6.51842768944312,4.8247661049743e-11,6.74430823459038e-09,"High vs Low","CHGB",6.74430823459038e-09
"APOA2",-2.82535642444201,-0.979054544983673,4.86527355937658e-11,6.7509248043379e-09,"High vs Low","APOA2",6.7509248043379e-09
"PSG3",5.06946052248326,1.44085999289064,5.49936867968962e-11,7.57507929594327e-09,"High vs Low","PSG3",7.57507929594327e-09
"TRIM48",5.83119125736249,1.05334903055804,6.16196555278315e-11,8.42626463380947e-09,"High vs Low","TRIM48",8.42626463380947e-09
"SLC2A2",-3.56217921931907,-2.48900636152203,6.75722077057606e-11,9.17377792529071e-09,"High vs Low","SLC2A2",9.17377792529071e-09
"OLAH",2.07999509536194,-0.92208539705417,7.74990951425828e-11,1.04463244602549e-08,"High vs Low","OLAH",1.04463244602549e-08
"CYP11B2",3.88346609637653,-3.82287422341977,8.56484843434853e-11,1.1462925872666e-08,"High vs Low","CYP11B2",1.1462925872666e-08
"CEL",2.07603758750679,2.51714459629497,8.94283314429126e-11,1.18845214271775e-08,"High vs Low","CEL",1.18845214271775e-08
"ADH7",-2.67755347932415,1.74627470762288,9.27466903179534e-11,1.22393202307e-08,"High vs Low","ADH7",1.22393202307e-08
"GABRA2",2.93869932611272,0.297860958238312,1.12247860738612e-10,1.47099262499885e-08,"High vs Low","GABRA2",1.47099262499885e-08
"GLRA2",3.0797160786769,-3.13585385517653,1.14554841447311e-10,1.47997524204233e-08,"High vs Low","GLRA2",1.47997524204233e-08
"AMY1B",2.5210280006186,-1.84722006512483,1.14639721679158e-10,1.47997524204233e-08,"High vs Low","AMY1B",1.47997524204233e-08
"ADAM30",-3.54837443724006,-3.91853575019016,1.1562460358129e-10,1.47997524204233e-08,"High vs Low","ADAM30",1.47997524204233e-08
"CELA3B",3.19309184205468,-3.24852573138477,1.16070338520622e-10,1.47997524204233e-08,"High vs Low","CELA3B",1.47997524204233e-08
"SEC14L5",-1.41019805711938,0.619744211525184,1.17741449958557e-10,1.49120731689123e-08,"High vs Low","SEC14L5",1.49120731689123e-08
"HHLA1",-3.36554266693676,-2.92359439544457,1.22121804609292e-10,1.5363737165213e-08,"High vs Low","HHLA1",1.5363737165213e-08
"SYNPR",-2.64548030097146,-1.62984988597311,1.25959547571868e-10,1.57416067697266e-08,"High vs Low","SYNPR",1.57416067697266e-08
"ZPBP2",-2.70090901228786,-2.03938886908459,1.3470177780041e-10,1.67234029531023e-08,"High vs Low","ZPBP2",1.67234029531023e-08
"ATP11AUN",-3.0228859051828,0.322589534321854,1.35937649445022e-10,1.67665319129217e-08,"High vs Low","ATP11AUN",1.67665319129217e-08
"UNC80",2.01740360909194,-0.456530660636925,1.55675213032395e-10,1.90762788645086e-08,"High vs Low","UNC80",1.90762788645086e-08
"OR51E2",2.55193301993962,-1.73985053410522,1.66829652287432e-10,2.03112410859106e-08,"High vs Low","OR51E2",2.03112410859106e-08
"NRXN1",2.30014051464291,-0.0847857699842995,1.71097760118967e-10,2.06973450718271e-08,"High vs Low","NRXN1",2.06973450718271e-08
"C20orf141",3.08068795656589,-2.95617692988143,2.04428398651633e-10,2.42755379122617e-08,"High vs Low","C20orf141",2.42755379122617e-08
"SPRR2A",-3.60373398570748,1.42267702213659,2.04485647595929e-10,2.42755379122617e-08,"High vs Low","SPRR2A",2.42755379122617e-08
"PNLIP",4.98780231877326,-1.82125801142942,2.04536618517811e-10,2.42755379122617e-08,"High vs Low","PNLIP",2.42755379122617e-08
"HIST1H3A",-2.36102833497983,-1.12572063224912,2.07634441058659e-10,2.44123220711326e-08,"High vs Low","HIST1H3A",2.44123220711326e-08
"CACNG2",3.58412037742437,-2.87891829680077,2.0827639518056e-10,2.44123220711326e-08,"High vs Low","CACNG2",2.44123220711326e-08
"IGF2",2.04760025783606,7.00985704565705,2.13509464427953e-10,2.48712166865426e-08,"High vs Low","IGF2",2.48712166865426e-08
"TRIM49",3.31247474270251,-3.49873580492586,2.2415675932993e-10,2.59513018730988e-08,"High vs Low","TRIM49",2.59513018730988e-08
"MUC6",-3.21421788978826,6.92071742247836,2.53808507980727e-10,2.92050021591725e-08,"High vs Low","MUC6",2.92050021591725e-08
"CLVS2",3.04885264829145,-3.35098044987907,2.60449782380792e-10,2.97875626867147e-08,"High vs Low","CLVS2",2.97875626867147e-08
"TAAR1",3.70047484422572,-2.72899119021498,2.63163814773348e-10,2.99166527023365e-08,"High vs Low","TAAR1",2.99166527023365e-08
"RPTN",-3.90922032366141,-1.7274920346697,2.69011586292563e-10,3.03983092510596e-08,"High vs Low","RPTN",3.03983092510596e-08
"NKX6.2",-3.07770219770777,-2.95991985875299,2.78095559678449e-10,3.12377458731667e-08,"High vs Low","NKX6.2",3.12377458731667e-08
"A2ML1",-2.91892032985688,3.60927997689365,2.88614723800198e-10,3.21312034348024e-08,"High vs Low","A2ML1",3.21312034348024e-08
"KRT33A",4.88302701050556,-1.39697108420564,2.89454961788798e-10,3.21312034348024e-08,"High vs Low","KRT33A",3.21312034348024e-08
"MGARP",1.69764767590942,-0.601405096212405,3.00880448288343e-10,3.32041809336218e-08,"High vs Low","MGARP",3.32041809336218e-08
"KCNB2",2.50934770418642,-0.554739461336175,3.2660346852088e-10,3.58333375259158e-08,"High vs Low","KCNB2",3.58333375259158e-08
"SBK2",2.62260055869155,-2.30162332736758,3.70456402600092e-10,4.04097270142563e-08,"High vs Low","SBK2",4.04097270142563e-08
"KRT14",-2.99624467813694,4.69894649726671,3.78667468280979e-10,4.10680103099446e-08,"High vs Low","KRT14",4.10680103099446e-08
"SVOP",2.55956828600583,-1.79747826206273,4.14359582259188e-10,4.46821695817893e-08,"High vs Low","SVOP",4.46821695817893e-08
"SPAG11A",-5.07470863917165,-2.08335931033163,4.34686285985045e-10,4.66077551296806e-08,"High vs Low","SPAG11A",4.66077551296806e-08
"PEX5L",1.95797765220949,0.929726381841477,4.54027727699908e-10,4.84065381323445e-08,"High vs Low","PEX5L",4.84065381323445e-08
"KCNH6",2.2237562204625,0.80484632666922,4.57142587303853e-10,4.84648189045562e-08,"High vs Low","KCNH6",4.84648189045562e-08
"SERPINB7",-2.56988676557351,0.977562201733539,5.3445746779344e-10,5.63449546074302e-08,"High vs Low","SERPINB7",5.63449546074302e-08
"NOS1",2.27260987054152,2.59386338755668,5.44843928968734e-10,5.71208321309387e-08,"High vs Low","NOS1",5.71208321309387e-08
"CPB1",-2.83083895920669,1.88893013969496,5.89267131199902e-10,6.14367957617312e-08,"High vs Low","CPB1",6.14367957617312e-08
"HIST2H3D",-2.01425134246012,-1.13276933025644,6.10946276499446e-10,6.33470724385772e-08,"High vs Low","HIST2H3D",6.33470724385772e-08
"SLC1A6",2.80264741304189,-0.60088145175097,6.18969563659432e-10,6.38282766984543e-08,"High vs Low","SLC1A6",6.38282766984543e-08
"RALYL",3.31835028110972,-3.13784092021483,9.416845698759e-10,9.65789647724354e-08,"High vs Low","RALYL",9.65789647724354e-08
"MFAP5",1.73420160382417,3.54660224761924,9.86146370093129e-10,1.00592260270419e-07,"High vs Low","MFAP5",1.00592260270419e-07
"DMRTB1",3.37270656028982,-3.81747645191671,1.04944637600005e-09,1.06473669685467e-07,"High vs Low","DMRTB1",1.06473669685467e-07
"ZSCAN10",2.17047223873662,-2.60592498255151,1.06804175679296e-09,1.0778083418417e-07,"High vs Low","ZSCAN10",1.0778083418417e-07
"BNC1",-2.32003205015715,0.368991653914459,1.078111740444e-09,1.08218333265525e-07,"High vs Low","BNC1",1.08218333265525e-07
"OR14A16",3.65667610028286,-4.16697584378321,1.2214298607287e-09,1.21955570909054e-07,"High vs Low","OR14A16",1.21955570909054e-07
"LAIR2",1.83599864877324,1.34173971270157,1.23102004089434e-09,1.22266206272195e-07,"High vs Low","LAIR2",1.22266206272195e-07
"SPRR4",-3.43858771277297,-4.01710209869417,1.26423455168239e-09,1.24907697512033e-07,"High vs Low","SPRR4",1.24907697512033e-07
"AQP2",-2.45540926184922,0.202130519232792,1.3210518028548e-09,1.29841502977463e-07,"High vs Low","AQP2",1.29841502977463e-07
"SLC38A11",1.85337615263348,1.37285743591106,1.34111323928877e-09,1.31130300200095e-07,"High vs Low","SLC38A11",1.31130300200095e-07
"KCTD4",2.60331897444555,-2.60051004007022,1.39169638874577e-09,1.35374755422791e-07,"High vs Low","KCTD4",1.35374755422791e-07
"CA6",-2.90320910162451,0.566818835528013,1.40197165981095e-09,1.35674908678423e-07,"High vs Low","CA6",1.35674908678423e-07
"FRG2",3.64254202144687,-3.04855519215054,1.46712539033221e-09,1.4125573082122e-07,"High vs Low","FRG2",1.4125573082122e-07
"FSHB",4.68558540362519,-3.25745170140054,1.63631441311637e-09,1.56745630913294e-07,"High vs Low","FSHB",1.56745630913294e-07
"HIST1H3I",-2.95149124750814,-1.88763476007908,2.04969099539435e-09,1.9535211502064e-07,"High vs Low","HIST1H3I",1.9535211502064e-07
"TRIML2",2.62150725438334,-2.92198625268197,2.1481691824663e-09,2.03709048453877e-07,"High vs Low","TRIML2",2.03709048453877e-07
