"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logFC","group","genesymbol","adj.P.Val"
"LHX3",1.2411578887918,0.33681552712631,0.423937538102099,0.794493284633814,0.426908316835476,0.750585917973205,0.233462732996413,"High vs Low","LHX3",0.750585917973205
"DDX58",1662.54818151026,-0.104925847897458,0.107208224245822,-0.978710809134098,0.327722889726596,0.677291482562816,-0.072729055637985,"High vs Low","DDX58",0.677291482562816
"EDF1",9944.05677945412,0.0935685262708237,0.0829865721630771,1.12751405235719,0.259525202565075,0.622068498425311,0.0648567601737706,"High vs Low","EDF1",0.622068498425311
"PIP5K1B",411.694930391519,0.192854740761541,0.176674714549736,1.09158088214853,0.275017362987272,0.635450396796838,0.133676719816481,"High vs Low","PIP5K1B",0.635450396796838
"GLIS3",1182.28988084311,-0.271924839674824,0.141145919040456,-1.92655119980397,0.0540355853023963,0.330564057482482,-0.18848393594482,"High vs Low","GLIS3",0.330564057482482
"BAG1",4576.52904123525,-0.170227694123961,0.108772707208336,-1.56498535793466,0.117586342556196,0.45043984240775,-0.117992846235244,"High vs Low","BAG1",0.45043984240775
"RAPGEF1",4926.43606947702,0.123335231407342,0.0756803850417,1.62968556964112,0.103167968761714,0.422097326738373,0.0854894679137074,"High vs Low","RAPGEF1",0.422097326738373
"NPDC1",2310.70809869845,-0.0035289508968904,0.156987869873172,-0.0224791310293042,0.982065758820055,0.994846216919087,-0.00244608236451409,"High vs Low","NPDC1",0.994846216919087
"APBA1",389.587132063358,-0.117821900995207,0.116753129226273,-1.00915411669063,0.312900727711369,0.664596826955046,-0.0816679184830407,"High vs Low","APBA1",0.664596826955046
"SETX",4118.85272366462,-0.077074733364525,0.0648469608312272,-1.18856354062794,0.234611462100765,0.596543963005967,-0.05342413412403,"High vs Low","SETX",0.596543963005967
"SH3GL2",36.1713960647491,1.40382518593577,0.330489699791793,4.24771236991705,2.15964413083081e-05,0.00389777641498508,0.973057469630421,"High vs Low","SH3GL2",0.00389777641498508
"PTGDS",3675.5178405442,-0.0385784085871781,0.173913222692786,-0.221825620788627,0.82444963378519,0.942517680930476,-0.0267405151426921,"High vs Low","PTGDS",0.942517680930476
"ABCA2",2809.71477024336,0.247209556076337,0.0982637922358948,2.51577463530899,0.011877110198373,0.166859138394959,0.171352606801788,"High vs Low","ABCA2",0.166859138394959
"SHB",984.83564576512,-0.0488896247276457,0.0926845911265569,-0.527483847459487,0.597857630423492,0.844497184033557,-0.0338877055386014,"High vs Low","SHB",0.844497184033557
